,namn,antal,gender
0,Anna,301635,flicknamn
1,Anita,57636,flicknamn
2,Astrid,40434,flicknamn
3,Annika,39866,flicknamn
4,Alice,38861,flicknamn
5,Amanda,36706,flicknamn
6,Ann,34634,flicknamn
7,Agneta,33709,flicknamn
8,Anette,30513,flicknamn
9,Alexandra,27383,flicknamn
10,Anneli,26561,flicknamn
11,Agnes,23204,flicknamn
12,Anne,18562,flicknamn
13,Alva,17630,flicknamn
14,Alma,15065,flicknamn
15,Angelica,12599,flicknamn
16,Alicia,12396,flicknamn
17,Annie,12162,flicknamn
18,Annelie,11736,flicknamn
19,Ann-Marie,11561,flicknamn
20,Ann-Charlotte,11080,flicknamn
21,Annette,10955,flicknamn
22,Aina,10288,flicknamn
23,Ann-Christin,9691,flicknamn
24,Andrea,9519,flicknamn
25,Anna-Karin,8426,flicknamn
26,Anna-Lena,8122,flicknamn
27,Anne-Marie,7892,flicknamn
28,Annica,7872,flicknamn
29,Ann-Sofie,6973,flicknamn
30,Ann-Kristin,6698,flicknamn
31,Ann-Mari,6486,flicknamn
32,Ann-Britt,6222,flicknamn
33,Asta,6209,flicknamn
34,Ali,6120,flicknamn
35,Ahmed,5476,flicknamn
36,Ann-Louise,5005,flicknamn
37,Anja,4988,flicknamn
38,Ann-Christine,4845,flicknamn
39,Aurora,4518,flicknamn
40,Angela,4096,flicknamn
41,Anna-Lisa,3822,flicknamn
42,Ann-Sofi,3521,flicknamn
43,Annikki,3421,flicknamn
44,Amina,3402,flicknamn
45,Ana,3324,flicknamn
46,Angelina,3232,flicknamn
47,Amelia,3209,flicknamn
48,Alina,3203,flicknamn
49,Amelie,3113,flicknamn
50,Ann-Charlott,3089,flicknamn
51,Antonia,3021,flicknamn
52,Anna-Maria,2900,flicknamn
53,Amalia,2804,flicknamn
54,Angelika,2410,flicknamn
55,Ann-Katrin,2293,flicknamn
56,Abdi,2271,flicknamn
57,Adele,2266,flicknamn
58,Ann-Margret,2224,flicknamn
59,Aleksandra,2206,flicknamn
60,Anna-Greta,2099,flicknamn
61,Agnieszka,2081,flicknamn
62,Augusta,2005,flicknamn
63,Aino,1958,flicknamn
64,Aida,1831,flicknamn
65,Anny,1822,flicknamn
66,Aisha,1769,flicknamn
67,Amal,1768,flicknamn
68,Amira,1716,flicknamn
69,Anna-Carin,1689,flicknamn
70,Anastasia,1662,flicknamn
71,Adina,1637,flicknamn
72,Anni,1583,flicknamn
73,Adriana,1571,flicknamn
74,Aya,1558,flicknamn
75,Amy,1547,flicknamn
76,Anne-Charlotte,1511,flicknamn
77,Anna-Stina,1397,flicknamn
78,Abdullahi,1363,flicknamn
79,Adela,1351,flicknamn
80,Alfhild,1345,flicknamn
81,Ahmad,1310,flicknamn
82,Ada,1231,flicknamn
83,Agnetha,1223,flicknamn
84,Adéle,1220,flicknamn
85,Alejandra,1220,flicknamn
86,Albertina,1204,flicknamn
87,Alaa,1199,flicknamn
88,Alida,1190,flicknamn
89,Andréa,1183,flicknamn
90,Anders,189270,pojknamn
91,Alexander,81075,pojknamn
92,Andreas,73217,pojknamn
93,Axel,59280,pojknamn
94,Arne,58444,pojknamn
95,Anton,37545,pojknamn
96,Adam,28514,pojknamn
97,Ali,24435,pojknamn
98,Arvid,23244,pojknamn
99,Albin,22750,pojknamn
100,Alf,22663,pojknamn
101,Allan,19876,pojknamn
102,Ahmed,15358,pojknamn
103,Alfred,14948,pojknamn
104,André,13295,pojknamn
105,Adrian,11607,pojknamn
106,Ahmad,11293,pojknamn
107,Albert,10972,pojknamn
108,August,9600,pojknamn
109,Alex,7916,pojknamn
110,Alvar,7044,pojknamn
111,Artur,6232,pojknamn
112,Alvin,5821,pojknamn
113,Antonio,5627,pojknamn
114,Antero,5469,pojknamn
115,Algot,5036,pojknamn
116,Arnold,4978,pojknamn
117,Arthur,4877,pojknamn
118,Aron,4805,pojknamn
119,Amir,4626,pojknamn
120,Agne,4024,pojknamn
121,Abdi,3554,pojknamn
122,Abdullah,3444,pojknamn
123,Alfons,3295,pojknamn
124,Abdul,3080,pojknamn
125,Anthony,2996,pojknamn
126,Adnan,2809,pojknamn
127,Abdullahi,2752,pojknamn
128,Andréas,2625,pojknamn
129,Abdirahman,2606,pojknamn
130,Abbas,2404,pojknamn
131,Assar,2372,pojknamn
132,Adolf,2322,pojknamn
133,Andrzej,2299,pojknamn
134,Andrew,2193,pojknamn
135,Alejandro,2111,pojknamn
136,Alan,2032,pojknamn
137,Amin,2028,pojknamn
138,Andres,2015,pojknamn
139,Alberto,1924,pojknamn
140,Alexis,1913,pojknamn
141,Ari,1725,pojknamn
142,Amadeus,1678,pojknamn
143,Anas,1653,pojknamn
144,Alve,1636,pojknamn
145,Adel,1635,pojknamn
146,Aziz,1630,pojknamn
147,Aaron,1585,pojknamn
148,Abraham,1483,pojknamn
149,Abdulrahman,1477,pojknamn
