,product_title,product_category,review_body,review_headline,star_rating,total_votes,word_length
0,LG G4 Case Hard Transparent Slim Clear Cover for LG G4,Wireless,"2 issues  -  Once I turned on the circle apps and installed this case,  my battery drained twice as fast as usual.  I ended up turning off the circle apps, which kind of makes the case just a case...  with a hole in it.  Second,  the wireless charging doesn't work.  I have a Motorola 360 watch and a Qi charging pad. The watch charges fine but this case doesn't. But hey, it looks nice.","Looks good, functions meh",2,3,82
1,Selfie Stick Fiblastiq&trade; Extendable Wireless Bluetooth Selfie Stick with built-in Bluetooth Adjustable Phone Holder,Wireless,"I’m embarrassed to admit that until recently, I have had a very negative opinion about “selfie sticks” aka “monopods” aka “narcissticks.” But having reviewed a number of them recently, they’re growing on me. This one is pretty nice and simple to set up and with easy instructions illustrated on the back of the box (not sure why some reviewers have stated that there are no instructions when they are clearly printed on the box unless they received different packaging than I did). Once assembled, the pairing via bluetooth and use of the stick are easy and intuitive. Nothing to it.<br /><br />The stick comes with a USB charging cable but arrived with a charge so you can use it immediately, though it’s probably a good idea to charge it right away so that you have no interruption of use out of the box. Make sure the stick is switched to on (it will light up) and extend your stick to the length you desire up to about a yard’s length and snap away.<br /><br />The phone clamp held the phone sturdily so I wasn’t worried about it slipping out. But the longer you extend the stick, the harder it is to maneuver.  But that will happen with any stick and is not specific to this one in particular.<br /><br />Two things that could improve this: 1) add the option to clamp this in portrait orientation instead of having to try and hold the stick at the portrait angle, which makes it feel unstable; 2) add the opening for a tripod so that this can be used to sit upright on a table for skyping and facetime eliminating the need to hold the phone up with your hand, causing fatigue.<br /><br />But other than that, this is a nice quality monopod for a variety of picture taking opportunities.<br /><br />I received a sample in exchange for my honest opinion.",A fun little gadget,4,0,319
3,"RAVPower® Element 10400mAh External Battery USB Portable Charger (Dual USB Outputs, Ultra Compact Design), Travel Charger for iPhone 6,iPhone 6 plus,iPhone 5, 5S, 5C, 4S, 4, iPad Air, 4, 3, 2, Mini 2 (Apple adapters not included); Samsung Galaxy S5, S4, S3, S2, Note 3, Note 2; HTC One, EVO, Thunderbolt, Incredible, Droid DNA, Motorola ATRIX, Droid, Moto X, Google Glass, Nexus 4, Nexus 5, Nexus 7,",Wireless,Great charger.  I easily get 3+ charges on a Samsung Galaxy 3.  Works perfectly for camping trips or long days on the boat.,Great charger,5,0,25
8,"iPhone 5S Battery Case - iPhone 5 Battery Case , Maxboost Atomic S [MFI Certified] External Protective Battery Charging Case Power Bank Charger All Versions of Apple iPhone 5/5S [Juice Battery Pack]",Wireless,So far so good. It is essentially identical to the one it replaced from another company. That one stopped working after 7 months so I am a bit apprehensive about this one.,So far so good,5,0,32
9,"HTC One M8 Screen Protector, Skinomi TechSkin Full Coverage Screen Protector for HTC One M8 Clear HD Anti-Bubble Film",Wireless,"seems durable but these are always harder to get on right than people make them out to be. also send to curl up at the edges after a while. with today's smartphones, you hardly need screen protectors anyway.",seems durable but these are always harder to get on ...,3,0,38
10,S6 Case - Bear Motion for Galaxy S6 - Premium Back Cover for Samsung Galaxy S6 - Sand (Black),Wireless,"Super thin, lightweight, and non intrusive. Feels amazing, isn't add protective as other cases but I get to enjoy and show off my phone more.","Super thin, lightweight",5,0,25
12,"EZOPower 5-Port Usb Car Charger with 3-Feet Extension Cord, 8-Amp, 40-Watts, Black",Wireless,"I received this on time and its great. I went on a long trip and used it. I have an iPhone 4 s a BLU Android phone and my husband has a small flip phone, it worked great on all of them and I also had a blue tooth I charged on it.",EZOPower,5,0,53
13,iPhone 6S Case &iPhone 6 Case Perfect designed 3D Phone cover for i6/6s Cute bulldog Colourful case for iphone6/6s-PC case,Wireless,Very cheap case. This not protect anything. Very fragil.!! After i got it I went to buy a otter case expensive but worth it.,Very cheap case. This not protect anything. Very ...,1,0,24
18,LilGadgets Connect+ Premium Volume Limited Wired Headphones with SharePort for Children / Kids,Wireless,We love these headphones. We had a pair each for our 2 and 4 year old. They loved them and thought it was great that they could share one device but each have their own set of headphones. Very comfortable as well.,Great headphones for kids,5,0,42
21,Kinivo BTC450 Bluetooth Hands-Free Car Kit for Cars with Aux Input Jack (3.5 mm) - Supports AptX,Wireless,"Initial review after having this Kinivo for 48 hours?  This has been what I've been searching for the last few years trying to use a system to sync up my calls and music.  I've used the motorola tx550 (terrible), Satechi Soundfly BT, and numerous other failed devices.  I was not only able to set this up in literally under a minute, I was later able to completely hide all the wires under my dash which made me even happier.<br /><br />I will periodically update on this device.",I was later able to completely hide all the wires under my dash which made me even happier. I will periodically update on this d,5,0,90
